#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
150000	0:3.2780143612679464	1.3016667792870706	1.7052616005566037	1.7469899603893506	3.084168818869134:4.9E-324	3.084168818869134:2.0509610410518939E-16	4.002848928891849:7.626102203819965	4.561936629037772:2.56700264E-315	4.561936629037772:8.678810568772456E-8	6.540023212254348:12.674153201487488	9.725967523021593	10.751190817907467	11.326351909900295	12.280506258649806	13.507592171385085	14.085611158321534	14.674022582963877	17.349286841295328	19.5566881703056	19.5566881703056:4.9E-324
155000	0:1.4955535577810766	0.6222019045805689	1.2142626348009036	1.348841566654697	3.121812485247382:4.9E-324	3.121812485247382:7.09368303841045E-16	4.104282189560261:2.931941870231116	4.835256070978787:3.1814325927E-314	4.835256070978787:4.334761170381995E-6	6.350760739259422:11.632640560685955	10.26981590494406	11.706119424361832	11.770006597476394	13.261058430573302	14.378193076122551	14.516289734425072	15.38804434239258	16.249689896357207	20.384833048700404	20.384833048700404:4.9E-324
160000	0:3.0769753036684797	1.1171947761862486	1.1486249704721607	1.9655600881217838	2.9138565732374317:4.9E-324	2.9138565732374317:8.206750226225398E-16	4.639299478132587:2.1944246520973327	4.705414905551463:2.5846373898E-313	4.705414905551463:1.0211994241649283E-5	5.723331900086319:11.295751513021756	10.192150807155892	11.4477000878957	11.719667670641924	12.525799043773276	14.329565143196024	14.432743087675643	14.715976280894292	15.292402913924175	20.811163413459944	20.811163413459944:4.9E-324
165000	0:3.0879272329182665	1.3710439616594479	1.7798941668107644	1.9728513271582155	2.9756568399494077:4.9E-324	2.9756568399494077:1.2016655694456113E-16	4.217215432584756:5.159730951361289	4.396498579992791:7.79998119677E-313	4.396498579992791:1.0165623510538609E-4	5.951462270755553:34.31475006008978	11.6870104115801	12.673234106261784	13.246064861899493	14.25990672486277	15.785634345450369	17.6714547119242	20.431100963647957	21.08299716858233	23.872283735598714	23.872283735598714:4.9E-324
170000	0:6.494354009419911	1.1128752590431203	1.270994117805464	1.4058385801059061	2.9864377983875636:4.4E-323	2.9864377983875636:2.065980618203463E-15	4.103004824432499:3.604031414493048	4.843703694009129:2.36939926E-316	4.843703694009129:3.344239229957957E-8	6.682602673192463:11.68916112812946	8.149661457081894	12.694161418614426	13.387703503957306	13.968726887345323	14.136869878059802	14.722203611927803	17.17089661857351	19.036022842138145	24.706324082392374	24.706324082392374:4.9E-324
175000	0:2.774848046627811	0.5816739726047633	1.2932824634080797	1.33713129550777	3.207125349311241:2.0E-323	3.207125349311241:3.131607368243226E-15	4.186946213034098:1.5988632906008164	4.918909019946289:2.782942303E-315	4.918909019946289:4.5906848083632157E-7	6.209589962881216:21.366381911745027	10.001567502450506	10.522116221740125	13.346201723625107	14.49212519366857	14.784903731965883	15.2052004800843	17.634352695189975	18.389701112808254	21.703442850379222	21.703442850379222:4.9E-324
180000	0:0.8811351388960112	0.4062209423593536	0.6599954527362328	1.0223732277351827	3.068984674121208:4.9E-324	3.068984674121208:4.1147387157041504E-16	4.343916782545109:3.3275659007164045	4.560823711939895:3.7094063E-317	4.560823711939895:3.299892989466295E-9	6.4611940392529155:11.32742559941179	9.145742247312139	10.589950325851781	11.5636769787782	12.146780096088095	13.581629645112306	14.041601004560071	14.514639086092677	15.865063491383593	21.196367881832934	21.196367881832934:4.9E-324
185000	0:6.239265877208103	1.4342705954020292	1.5885354819622541	1.9227539612328233	3.192171147376039:4.9E-324	3.192171147376039:7.825334331003087E-16	4.6476179487581355:5.799184283055065	4.796284517932706:2.65691759E-315	4.796284517932706:2.7805930306401505E-7	5.139938095891455:19.556118222622707	9.879543476670563	11.412890181412351	12.142980902163043	14.423958731464756	15.786324683313076	16.088643910333435	18.792801319079814	20.281785365860664	24.01275206105953	24.01275206105953:4.9E-324
190000	0:2.8142609081507257	1.2075497730953766	1.3576649525871833	1.558257604637494	3.1623328524682055:6.9E-323	3.1623328524682055:5.369396692539916E-15	4.247682536077367:1.496709064127286	4.610821402435825:1.1291722068E-313	4.610821402435825:5.328831380981473E-7	7.038278588266084:17.940754867919058	9.491649507512795	10.517244119300834	12.623412933147932	14.348094697780617	14.495831750001155	15.646835257450872	15.7106617594739	16.63991499174756	21.343575100153977	21.343575100153977:1.5E-323
195000	0:2.4279240787847893	0.42690420990382283	0.8147964924104255	1.0758973659843118	3.5272220123569022:4.086E-321	3.5272220123569022:2.582982519591737E-13	4.018183971153011:2.879805849190703	4.899117344830287:7.9072712485E-314	4.899117344830287:1.4012977309926865E-5	6.361553760015282:23.57270727840766	9.634514081043434	11.214591129848369	11.589339168941772	14.25982403601603	16.201331771418396	18.44763507715335	19.166205540190898	21.046416755450434	27.358548246676726	27.358548246676726:1.0E-323
